Timestamp,"system.PHX.SP1.na44:CpuPerc.cpu.user{podtype=Pri,hostState=unknown}"
1499754601000,1.4663425803846784
1499754602000,1.4738958214782178
1499754657000,2.010018527524338
1499754661000,2.0393426024996573
1499754662000,2.0314953803891935
1499754717000,1.4410092703253032
1499754721000,1.4036574189861615
1499754722000,1.4052476968988779
1499754777000,1.6139166794882884
1499754781000,1.6284259385201665
1499754782000,1.6275532530020504
1499754837000,1.5250648279488082
1499754841000,1.5165370505137576
1499754842000,1.5125046433736056
1499754897000,1.2489629729506042
1499754901000,1.2330185282395945
1499754902000,1.2427777874780197
1499754957000,1.9465740908847917
1499754961000,1.996425943043497
1499754962000,1.9940740906902485
1499755017000,1.699722215632598
1499755021000,1.6772777694794867
1499755022000,1.6793518438210917
1499755077000,1.9263425817920101
1499755081000,1.942972211407291
1499755082000,1.9399999888613817
1499755137000,1.6161110967397687
1499755141000,1.595222207489941
1499755142000,1.594222207903448
1499755197000,1.611027783287896
1499755201000,1.6132870443330871
1499755202000,1.62049074806273
1499755257000,2.0869722367988692
1499755261000,2.1183796444700826
1499755262000,2.1198055701992575
1499755317000,2.149342592044009
1499755321000,2.151379628015889
1499755322000,2.1497222204651267
1499755377000,2.0295370186534196
1499755381000,2.020981461712056
1499755382000,2.017148128380585
1499755437000,1.7620092527071638
1499755441000,1.74286110572103
1499755442000,1.74063888361781
1499755497000,1.6897129618086748
1499755501000,1.7024537026633821
1499755502000,1.748944444389393
1499755557000,4.773435252433021
1499755561000,4.96491673881809
1499755562000,4.931620442273301
1499755617000,2.186203723086251
1499755621000,1.9979814972976844
1499755622000,1.9878889039696912
1499755677000,1.86312037171589
1499755681000,1.8538611114687389
1499755682000,1.8477129637036058
1499755737000,1.4520185369253158
1499755741000,1.4255370566662815
1499755742000,1.4229282601508828
1499755797000,1.313055556358563
1499755801000,1.3030277770012617
1499755802000,1.302365739649783
1499755857000,1.2776666516810655
1499755861000,1.2786851692861982
1499755862000,1.280145817781902
1499755917000,1.4083518607583307
1499755921000,1.4164537145942449
1499755922000,1.4162361219297683
1499755977000,1.3854259289056061
1499755981000,1.3839259279602105
1499755982000,1.3876851874838272
1499756037000,1.6066666827764775
1499756041000,1.6217407583693664
1499756042000,1.6238472395286794
1499756097000,1.7010000000728498
1499756101000,1.7070555541498795
1499756102000,1.7070138873056406
1499756157000,1.766851839530799
1499756161000,1.7706481349137093
1499756162000,1.7718518385063453
1499756217000,1.781018509748909
1499756221000,1.7798333247833782
1499756222000,1.7738425842548406
1499756277000,1.401064801149898
1499756281000,1.3773240599118999
1499756282000,1.3788148009052708
1499756337000,1.5433055715676811
1499756341000,1.554379648293058
1499756342000,1.5553148332258893
1499756397000,1.548694438777036
1499756401000,1.5472499924484224
1499756402000,1.546462955578334
1499756457000,1.5296574094477629
