1499754900924,1499754960924,na44,77024,27430,5219,4278,40097,79550.1
1499754960925,1499755020925,na44,74115,25264,5247,4275,39329,76842.8
1499755020926,1499755080926,na44,74077,25959,5277,4170,38671,76808.1
1499755080927,1499755140927,na44,81597,30444,5436,5046,40671,83988.7
1499755140927,1499755200927,na44,88534,31694,5161,3984,47695,91046.8
1499755200928,1499755260928,na44,85139,34358,5319,3986,41476,87552.8
1499755260929,1499755320929,na44,77647,28825,4894,3494,40434,80142.3
1499755320929,1499755380929,na44,73286,27418,5133,3418,37317,76089.8
1499755380930,1499755440930,na44,73306,28057,5039,3368,36842,76107.9
1499755440935,1499755500935,na44,72536,27790,4895,3349,36502,75416.1
1499755500935,1499755560935,na44,77539,29605,5027,3246,39661,80039.4
1499755560935,1499755620935,na44,82696,28153,5394,3323,45826,85084.2
1499755620936,1499755680936,na44,82154,25925,5327,3264,47638,84542.7
1499755680936,1499755740936,na44,92890,26980,5841,3332,56737,95604.1
1499755800937,1499755860937,na44,111183,32730,6459,3346,68648,114684.0
1499761697818,1499761757818,na44,144971,35373,8736,7273,93589,144843.0
1499761817764,1499761877764,na44,148270,38208,8748,7584,93730,147357.0
1499761937765,1499761997765,na44,142292,34798,8611,7445,91438,142750.0
1499762057766,1499762117766,na44,143434,36956,8624,7514,90340,143648.0
1499762177766,1499762237766,na44,140468,35945,8638,7503,88382,141297.0
1499762297767,1499762357767,na44,139593,34307,8823,7493,88970,140591.0
1499762417767,1499762477767,na44,140010,35367,8762,7505,88376,140928.0
1499762537769,1499762597769,na44,138004,35737,9053,7397,85817,139297.0
1499762657769,1499762717769,na44,136071,35204,8478,7348,85041,137698.0
1499762777770,1499762837770,na44,139781,37158,8677,7461,86485,140743.0
1499762897771,1499762957771,na44,138997,35889,8612,7420,87076,140108.0
1499763017772,1499763077772,na44,139773,37419,8640,7499,86215,140737.0
1499763137773,1499763197773,na44,141111,35976,8718,7468,88949,141811.0
1499763257773,1499763317773,na44,139976,37094,8678,7376,86828,140901.0
1499763377774,1499763437774,na44,139839,35514,8785,7471,88069,140790.0
1499763497775,1499763557775,na44,136595,35462,8980,7419,84734,138134.0
1499763617775,1499763677775,na44,139488,39357,8620,7411,84100,140506.0
1499763737776,1499763797776,na44,138438,36279,8481,7671,86007,139652.0
1499763857776,1499763917776,na44,140415,37494,8197,7724,87000,141254.0
1499763977777,1499764037777,na44,141127,37193,8399,7719,87816,141824.0
1499764097777,1499764157777,na44,142179,37540,8525,7838,88276,142660.0
1499764217778,1499764277778,na44,138627,35707,8275,7593,87052,139807.0
1499764337778,1499764397778,na44,142349,36392,8686,7797,89474,142704.0
1499764457779,1499764517779,na44,139968,38390,8087,7673,85818,138233.0
1499764577779,1499764637779,na44,142234,38837,8358,7694,87345,138385.0
1499764697780,1499764757780,na44,136714,37048,8183,7642,83841,137596.0
1499764817781,1499764877781,na44,136897,37709,8140,7632,83416,137470.0
1499764937781,1499764997781,na44,135948,36431,8315,7609,83593,140273.0
1499765057782,1499765117782,na44,135798,37322,8351,7533,82592,137951.0
1499765177782,1499765237782,na44,139200,36629,8378,7617,86576,140764.0
1499765297783,1499765357783,na44,136375,36571,8221,7537,84046,139756.0
1499765417783,1499765477783,na44,139807,36833,8234,7532,87208,137040.0
1499765537784,1499765597784,na44,138565,35085,8225,7543,87712,132480.0
1499765657784,1499765717784,na44,135284,34432,8306,7530,85016,140231.0
1499765777785,1499765837785,na44,129977,32987,8114,7374,81502,141367.0
1499765897785,1499765957785,na44,139148,34775,8573,7749,88051,137874.0
1499766017786,1499766077786,na44,140556,36087,8529,7614,88326,139208.0
1499766137786,1499766197786,na44,136282,34950,8327,7542,85463,135211.0
1499766257787,1499766317787,na44,137895,35473,8284,7466,86672,135775.0
1499766377788,1499766437788,na44,133126,32703,8209,7354,84860,134977.0
1499766497788,1499766557788,na44,133788,33248,8052,7450,85038,135566.0
1499766617789,1499766677789,na44,132853,33693,7931,7374,83855,134087.0
1499766737789,1499766797789,na44,133542,33786,8226,7605,83925,133887.0
1499754540987,1499754600987,na44,76773,26730,5294,4300,40449,79312.7
1499754600920,1499754660920,na44,73142,27065,4977,4006,37094,75959.9
1499754660920,1499754720920,na44,74334,26469,5256,3873,38736,77043.1
1499754720922,1499754780922,na44,75696,26844,5471,4088,39293,78302.0
1499754780922,1499754840922,na44,74366,26431,5259,4015,38661,77072.4
1499754840923,1499754900923,na44,75841,26670,5346,4162,39663,78437.3
